英文,中文,类别,模块
Disable Product,禁用产品,module,Magento_ConfigurableProduct
Enable Product,可用产品,module,Magento_ConfigurableProduct
Incl. Tax,含税,module,Magento_ConfigurableProduct
An attribute has been removed. This attribute will no longer appear in your configurations.,一个属性已被删除。此属性将不会再出现在你的配置。,module,Magento_ConfigurableProduct
Select options for all attributes or remove unused attributes.,请选择属性或者移除用不到的属性。,module,Magento_ConfigurableProduct
Please select attribute for {section} section.,请选择 {section} 部分的属性。,module,Magento_ConfigurableProduct
Please fill in the values for {section} section.,请填写 {section} 部分的值。,module,Magento_ConfigurableProduct
Please fill-in correct values.,请填写正确的价值观。,module,Magento_ConfigurableProduct
Please select image(s) for your attribute.,请选择您的属性的图像。,module,Magento_ConfigurableProduct
Please choose image(s).,请选择图像。,module,Magento_ConfigurableProduct
We could not detect a size.,我们未能检测到的大小。,module,Magento_ConfigurableProduct
We don't recognize or support this file extension type.,我们无法识别或支持这个文件扩展类型。,module,Magento_ConfigurableProduct
Please select attribute(s).,请选择属性。,module,Magento_ConfigurableProduct
Generate Products,创建产品,module,Magento_ConfigurableProduct
Something went wrong.,出错了。,module,Magento_ConfigurableProduct
Configurable Product Image,设置产品图像,module,Magento_ConfigurableProduct
Select...,选择…,module,Magento_ConfigurableProduct
ID,ID,module,Magento_ConfigurableProduct
Thumbnail,缩略图,module,Magento_ConfigurableProduct
Attribute Code,属性代码,module,Magento_ConfigurableProduct
Attribute Label,属性标签,module,Magento_ConfigurableProduct
Required,必填,module,Magento_ConfigurableProduct
System,系统,module,Magento_ConfigurableProduct
Visible,可比较,module,Magento_ConfigurableProduct
Scope,范围,module,Magento_ConfigurableProduct
Searchable,可搜索,module,Magento_ConfigurableProduct
Comparable,可比性,module,Magento_ConfigurableProduct
Select...,选择…,module,Magento_ConfigurableProductStaging
Status,状态,module,Magento_ConfigurableProductStaging
ID,ID,module,Magento_ConfigurableProductStaging
Thumbnail,缩略图,module,Magento_ConfigurableProductStaging
Name,名字,module,Magento_ConfigurableProductStaging
SKU,SKU,module,Magento_ConfigurableProductStaging
Price,价格,module,Magento_ConfigurableProductStaging
Quantity,数量,module,Magento_ConfigurableProductStaging
Weight,重量,module,Magento_ConfigurableProductStaging
Attributes,属性,module,Magento_ConfigurableProductStaging
Attribute Code,属性代码,module,Magento_ConfigurableProductStaging
Attribute Label,属性标签,module,Magento_ConfigurableProductStaging
Required,必填,module,Magento_ConfigurableProductStaging
System,系统,module,Magento_ConfigurableProductStaging
Visible,可比较,module,Magento_ConfigurableProductStaging
Scope,范围,module,Magento_ConfigurableProductStaging
Searchable,可搜索,module,Magento_ConfigurableProductStaging
Comparable,可比性,module,Magento_ConfigurableProductStaging
Page not found.,找不到网页。,module,Magento_Contact
Thanks for contacting us with your comments and questions. We'll respond to you very soon.,感谢您联系我们并给出您意见和问题。我们会很快回复你。,module,Magento_Contact
"We can't process your request right now. Sorry, that's all we know.",我们现在无法处理你的请求。对不起，这是我们所知道的。,module,Magento_Contact
* Required Fields,*必填项,module,Magento_Contact
Write Us,写留言,module,Magento_Contact
Jot us a note and we’ll get back to you as quickly as possible.,我们记笔记，我们会尽可能快地回到你。,module,Magento_Contact
Name,名字,module,Magento_Contact
Email,邮箱,module,Magento_Contact
Phone Number,电话号码,module,Magento_Contact
What’s on your mind?,您的想法是什么?,module,Magento_Contact
Submit,提交,module,Magento_Contact
Contact Form,联系方式,module,Magento_Contact
Name: %name,名称：%name,module,Magento_Contact
Email: %email,电子邮件：电子邮件%,module,Magento_Contact
Phone Number: %telephone,电话号码：%电话,module,Magento_Contact
Comment: %comment,注释：%评论,module,Magento_Contact
Contacts Section,联系人部分,module,Magento_Contact
Contacts,联系,module,Magento_Contact
Contact Us,联系我们,module,Magento_Contact
Enable Contact Us,启用联系我们,module,Magento_Contact
Email Options,邮件选项,module,Magento_Contact
Send Emails To,发送邮件至,module,Magento_Contact
Email Sender,电子邮件发件人,module,Magento_Contact
Email Template,邮件模板,module,Magento_Contact
"Email template chosen based on theme fallback when ""Default"" option is selected.",电子邮件模板选择基于主题的回退时，选择“默认”选项。,module,Magento_Contact
Invalid domain name: %1,无效的域名: %1,module,Magento_Cookie
Invalid cookie lifetime: %1,无效的cookie的生命周期: %1,module,Magento_Cookie
Invalid cookie path,无效的cookie路径,module,Magento_Cookie
We use cookies to make your experience better.,我们使用cookies让您有更好地体验,module,Magento_Cookie
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","为了符合新的电子隐私指令, 我们需要征得您同意去设置cookies",module,Magento_Cookie
"<a href=""%1"">Learn more</a>.","<a href=""%1"">了解更多</a>.",module,Magento_Cookie
Allow Cookies,允许Cookies,module,Magento_Cookie
Default Cookie Settings,默认Cookie设置,module,Magento_Cookie
Cookie Lifetime,Cookie时效,module,Magento_Cookie
Cookie Path,Cookie路径,module,Magento_Cookie
Cookie Domain,Cookie域,module,Magento_Cookie
Use HTTP Only,只能使用 HTTP,module,Magento_Cookie
Cookie Restriction Mode,Cookie限制模式,module,Magento_Cookie
We can't save the cron expression.,我们无法保存Cron表达式。,module,Magento_Cron
Daily,每天,module,Magento_Cron
Weekly,每周,module,Magento_Cron
Monthly,每月,module,Magento_Cron
Invalid cron expression: %1,无效的cron表达式：%1,module,Magento_Cron
"Invalid cron expression, expecting 'match/modulus': %1",无效的cron表达式，预计“匹配/模”：%1,module,Magento_Cron
"Invalid cron expression, expecting numeric modulus: %1",无效的cron表达式，预计数字模量：%1,module,Magento_Cron
"Invalid cron expression, expecting 'from-to' structure: %1",无效的cron表达式，预计'from-to' 结构：%1,module,Magento_Cron
Cron (Scheduled Tasks),Cron (计划任务),module,Magento_Cron
For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.,正确的URL生成cron运行过程中请确保网络>安全与非安全基地的网址是显式设置。所有的时间都在几分钟内。,module,Magento_Cron
Cron configuration options for group:,团体cron配置选项：,module,Magento_Cron
Generate Schedules Every,每次产生时间表,module,Magento_Cron
Schedule Ahead for,计划提前,module,Magento_Cron
Missed if Not Run Within,错过如果不运行于,module,Magento_Cron
History Cleanup Every,清除记录每,module,Magento_Cron
Success History Lifetime,成功记录时间,module,Magento_Cron
Failure History Lifetime,失败记录时间,module,Magento_Cron
Use Separate Process,使用单独的进程,module,Magento_Cron
Save Currency Rates,保存货币汇率,module,Magento_CurrencySymbol
Options,选项,module,Magento_CurrencySymbol
Reset,重置,module,Magento_CurrencySymbol
Import,导入,module,Magento_CurrencySymbol
Manage Currency Rates,管理汇率,module,Magento_CurrencySymbol
Import Service,导入服务,module,Magento_CurrencySymbol
Save Currency Symbols,保存货币符号,module,Magento_CurrencySymbol
Currency Symbols,货币符号,module,Magento_CurrencySymbol
Use Standard,使用标准,module,Magento_CurrencySymbol
Please specify a correct Import Service.,请指定一个正确的导入服务,module,Magento_CurrencySymbol
We can't initialize the import model.,我们无法初始化导入模型。,module,Magento_CurrencySymbol
"Click ""Save"" to apply the rates we found.",点击“保存”应用，我们发现率。,module,Magento_CurrencySymbol
Currency Rates,货币汇率,module,Magento_CurrencySymbol
"Please correct the input data for ""%1 => %2"" rate.","请正确输入数据 ""%1 => %2"" 税率。",module,Magento_CurrencySymbol
All valid rates have been saved.,所有有效汇率都已保存,module,Magento_CurrencySymbol
System,系统,module,Magento_CurrencySymbol
You applied the custom currency symbols.,您应用自定义货币符号。,module,Magento_CurrencySymbol
You must first configure currency options before being able to see currency rates.,在能够看到货币利率之前，必须先配置货币选项。,module,Magento_CurrencySymbol
Old rate:,旧汇率:,module,Magento_CurrencySymbol
Currency,货币,module,Magento_CurrencySymbol
[GLOBAL],[全局],module,Magento_CustomAttributeManagement
[WEBSITE],[网站],module,Magento_CustomAttributeManagement
[STORE VIEW],[商店视图],module,Magento_CustomAttributeManagement
The current module XML block name is undefined.,当前模块XML块名称是不确定的。,module,Magento_CustomAttributeManagement
The current module form model pathname is undefined.,当前模块表单模型路径是不确定的。,module,Magento_CustomAttributeManagement
No,否,module,Magento_CustomAttributeManagement
Yes,是,module,Magento_CustomAttributeManagement
Use helper with defined EAV entity.,使用带有定义EAV实体帮手。,module,Magento_CustomAttributeManagement
Default EAV Form,默认EAV表,module,Magento_CustomAttributeManagement
Please correct the values for minimum and maximum text length validation rules.,请更正最小和最大文本长度的验证规则的值。,module,Magento_CustomAttributeManagement
Please correct the values for minimum and maximum date validation rules.,请更正最小和最大日期验证规则的值。,module,Magento_CustomAttributeManagement
Text Field,文本字段,module,Magento_CustomAttributeManagement
Text Area,文本区,module,Magento_CustomAttributeManagement
Multiple Line,多行,module,Magento_CustomAttributeManagement
Date,日期,module,Magento_CustomAttributeManagement
Dropdown,下拉,module,Magento_CustomAttributeManagement
Multiple Select,多选,module,Magento_CustomAttributeManagement
Yes/No,是/否,module,Magento_CustomAttributeManagement
File (attachment),文件(附件),module,Magento_CustomAttributeManagement
Image File,图像文件,module,Magento_CustomAttributeManagement
Alphanumeric,字母表,module,Magento_CustomAttributeManagement
Numeric Only,只有数字,module,Magento_CustomAttributeManagement
Alpha Only,只有阿尔法,module,Magento_CustomAttributeManagement
URL,URL,module,Magento_CustomAttributeManagement
Email,邮箱,module,Magento_CustomAttributeManagement
Strip HTML Tags,地带HTML标签,module,Magento_CustomAttributeManagement
Escape HTML Entities,逃离HTML实体,module,Magento_CustomAttributeManagement
Normalize Date,规范化日期,module,Magento_CustomAttributeManagement
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.",属性代码无效，请在此字段中只能使用字母（A-Z），数字（0-9）或下划线（_）。第一个字符必须是字母。,module,Magento_CustomAttributeManagement
Sign Out,退出,module,Magento_Customer
Sign In,登录,module,Magento_Customer
You subscribe to our newsletter.,你已订阅我们的邮件列表,module,Magento_Customer
You don't subscribe to our newsletter.,你不订阅我们的通讯。,module,Magento_Customer
You have not set a default shipping address.,您尚未设置默认的运送地址。,module,Magento_Customer
You have not set a default billing address.,您还没有设置默认的账单地址。,module,Magento_Customer
Address Book,地址薄,module,Magento_Customer
Edit Address,编辑地址,module,Magento_Customer
Add New Address,添加新地址,module,Magento_Customer
region,地区,module,Magento_Customer
Create Order,创建订单,module,Magento_Customer
Save Customer,保存客户,module,Magento_Customer
Delete Customer,删除客户,module,Magento_Customer
Reset Password,密码重设,module,Magento_Customer
Are you sure you want to revoke the customer's tokens?,你确定你想要撤销客户的令牌?,module,Magento_Customer
Force Sign-In,强制登入,module,Magento_Customer
New Customer,新顾客,module,Magento_Customer
Save and Continue Edit,保存并继续编辑,module,Magento_Customer
Back,后退,module,Magento_Customer
Please select,请选择,module,Magento_Customer
Reset,重置,module,Magento_Customer
ID,ID,module,Magento_Customer
Product,产品,module,Magento_Customer
SKU,SKU,module,Magento_Customer
Quantity,数量,module,Magento_Customer
Price,价格,module,Magento_Customer
Total,总额,module,Magento_Customer
Action,操作,module,Magento_Customer
Configure,配置,module,Magento_Customer
Delete,删除,module,Magento_Customer
Shopping Cart from %1,从购物车 %1,module,Magento_Customer
Newsletter,邮件列表,module,Magento_Customer
Newsletter Information,邮件列表信息,module,Magento_Customer
Subscribed to Newsletter,订阅邮件列表,module,Magento_Customer
Last Date Subscribed,上次订阅的日期,module,Magento_Customer
Last Date Unsubscribed,上次退订的日期,module,Magento_Customer
No Newsletter Found,未找到新闻邮件,module,Magento_Customer
Start date,起始日期,module,Magento_Customer
End Date,结束日期,module,Magento_Customer
Receive Date,收到日期,module,Magento_Customer
Subject,主题,module,Magento_Customer
Status,状态,module,Magento_Customer
Sent,已发送,module,Magento_Customer
Cancel,取消,module,Magento_Customer
Not Sent,未发送,module,Magento_Customer
Sending,正在发送,module,Magento_Customer
Paused,已暂停,module,Magento_Customer
View,查看,module,Magento_Customer
Unknown,未知,module,Magento_Customer
Order,订单,module,Magento_Customer
Purchased,已购买,module,Magento_Customer
Bill-to Name,账单姓名,module,Magento_Customer
Ship-to Name,收件人姓名,module,Magento_Customer
Order Total,订单金额,module,Magento_Customer
Purchase Point,购买点,module,Magento_Customer
Customer View,客户界面,module,Magento_Customer
There are no items in customer's shopping cart.,有客户的购物车中没有商品。,module,Magento_Customer
Qty,数量,module,Magento_Customer
Confirmed,已确认,module,Magento_Customer
Confirmation Required,确认需求,module,Magento_Customer
Confirmation Not Required,不需要确认,module,Magento_Customer
Indeterminate,未定,module,Magento_Customer
The customer does not have default billing address.,客户未设置默认账单地址。,module,Magento_Customer
Offline,离线,module,Magento_Customer
Online,线上,module,Magento_Customer
Never,永不,module,Magento_Customer
Unlocked,解锁,module,Magento_Customer
Locked,锁定,module,Magento_Customer
Deleted Stores,删除店铺,module,Magento_Customer
Add Locale,添加区域设置,module,Magento_Customer
Add Date,添加日期,module,Magento_Customer
Days in Wish List,收藏的天数,module,Magento_Customer
Unlock,未锁定,module,Magento_Customer
No,否,module,Magento_Customer
Yes,是,module,Magento_Customer
Delete File,删除文件,module,Magento_Customer
Download,下载,module,Magento_Customer
Delete Image,删除图像,module,Magento_Customer
View Full Size,全尺寸视图,module,Magento_Customer
All countries,所有国家,module,Magento_Customer
Customer Groups,客户组,module,Magento_Customer
Add New Customer Group,添加新客户群组,module,Magento_Customer
Save Customer Group,保存客户群组,module,Magento_Customer
Delete Customer Group,删除客户组,module,Magento_Customer
New Customer Group,新客户组,module,Magento_Customer
"Edit Customer Group ""%1""",编辑客户群组 %1,module,Magento_Customer
Group Information,群组信息,module,Magento_Customer
Group Name,群组名称,module,Magento_Customer
Maximum length must be less then %1 characters.,最大长度必须小于%1个字符。,module,Magento_Customer
Tax Class,税类,module,Magento_Customer
The customer is now assigned to Customer Group %s.,客户现在已分配给客户群%s。,module,Magento_Customer
Would you like to change the Customer Group for this order?,你是否想更改该订单的顾客群体？,module,Magento_Customer
The VAT ID is valid.,增值税ID是有效的。,module,Magento_Customer
The VAT ID entered (%s) is not a valid VAT ID.,增值税ID输入（%S）是不是一个有效的增值税ID。,module,Magento_Customer
The VAT ID is valid. The current Customer Group will be used.,增值税号码有效。将使用当前的顾客群体。,module,Magento_Customer
The VAT ID is valid but no Customer Group is assigned for it.,增值税ID是有效的，但没有客户群被分配给它。,module,Magento_Customer
"Based on the VAT ID, the customer belongs to the Customer Group %s.",根据增值税ID，客户所属的客户群%s。,module,Magento_Customer
Something went wrong while validating the VAT ID.,出事了，而验证的增值税ID。,module,Magento_Customer
The customer would belong to Customer Group %s.,客户将属于客户群%s。,module,Magento_Customer
There was an error detecting Customer Group.,有一个错误检测的客户群。,module,Magento_Customer
Validate VAT Number,验证 增值税号码,module,Magento_Customer
Customer Login,客户登录,module,Magento_Customer
Create New Customer Account,创建新客户帐户,module,Magento_Customer
Date of Birth,出生日期,module,Magento_Customer
Bad request.,请求有误。,module,Magento_Customer
This confirmation key is invalid or has expired.,确认键无效或已过期。,module,Magento_Customer
There was an error confirming the account,确认账户时出错,module,Magento_Customer
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","如果您是已注册的增值税的客户,请点击<a href=""%1"">此处</a>以输入您的发运地址的正确的增值税的计算.",module,Magento_Customer
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","如果您是已注册的增值税的客户,请点击<a href=""%1"">此处</a>输入您的帐单地址的正确的增值税的计算.",module,Magento_Customer
Thank you for registering with %1.,感谢您注册 %1。,module,Magento_Customer
Please check your email for confirmation key.,请检查您的电子邮件确认键。,module,Magento_Customer
This email does not require confirmation.,该电子邮件不需要确认。,module,Magento_Customer
Wrong email.,邮件有误。,module,Magento_Customer
Your password reset link has expired.,你的密码重设链接已过期。,module,Magento_Customer
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","您必须确认您的帐户中，请检查您的电子邮件的确认链接或 <a href=""%1"">单击此处</a>的新链接.",module,Magento_Customer
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","已经有帐户使用此电子邮件地址。如果您确定这是您的电子邮件地址，<a href=""%1"">单击此处</a>来获取您的密码和访问您的帐户.",module,Magento_Customer
We can't save the customer.,我们无法保存该顾客。,module,Magento_Customer
Please make sure your passwords match.,请确保您的密码相匹配。,module,Magento_Customer
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","如果您是已注册的增值税客户,请<a href=""%1"">单击此处</a>以输入您的发运地址的正确的增值税的计算.",module,Magento_Customer
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","如果您是已注册的增值税客户,请<a href=""%1"">单击此处</a>输入您的帐单地址的正确的增值税的计算.",module,Magento_Customer
Account Information,账户信息,module,Magento_Customer
You saved the account information.,您保存帐户信息。,module,Magento_Customer
The account is locked. Please wait and try again or contact %1.,帐户被锁定。请稍候再试或联系 %1。,module,Magento_Customer
Password confirmation doesn't match entered password.,密码确认不匹配输入密码。,module,Magento_Customer
The password doesn't match this account.,密码不匹配此帐户。,module,Magento_Customer
Please correct the email address.,请更正邮箱地址。,module,Magento_Customer
We're unable to send the password reset email.,我们无法发送密码重置电子邮件。,module,Magento_Customer
Please enter your email.,请输入您的电子邮件。,module,Magento_Customer
If there is an account associated with %1 you will receive an email with a link to reset your password.,如果账号与 %1有关， 您将收到一封重置密码链接的邮件,module,Magento_Customer
My Account,我的账户,module,Magento_Customer
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","此帐户未得到证实，<a href=""%1"">单击此处</a>以重新发送确认电子邮件。",module,Magento_Customer
Invalid login or password.,无效的登录名或密码。,module,Magento_Customer
An unspecified error occurred. Please contact us for assistance.,发生了一个未指定的错误。请与我们联系协助处理。,module,Magento_Customer
A login and a password are required.,登录名和密码是必需的。,module,Magento_Customer
New Password and Confirm New Password values didn't match.,新密码和确认新的密码值不匹配,module,Magento_Customer
Please enter a new password.,请输入新密码。,module,Magento_Customer
You updated your password.,您更新您的密码。,module,Magento_Customer
Something went wrong while saving the new password.,出事了，同时节省了新密码。,module,Magento_Customer
You deleted the address.,您删除的地址。,module,Magento_Customer
We can't delete the address right now.,我们现在无法删除此地址 。,module,Magento_Customer
You saved the address.,地址已保存。,module,Magento_Customer
We can't save the address.,我们无法保存此地址。,module,Magento_Customer
No customer ID defined.,未定义客户ID,module,Magento_Customer
Please correct the quote items and try again.,请更正报价产品，并重试。,module,Magento_Customer
You have revoked the customer's tokens.,已撤消了客户的令牌。,module,Magento_Customer
We can't find a customer to revoke.,我们找不到客户撤销。,module,Magento_Customer
You deleted the customer group.,您删除的客户群。,module,Magento_Customer
The customer group no longer exists.,产品组不存在,module,Magento_Customer
Customers,客户,module,Magento_Customer
New Group,新组,module,Magento_Customer
New Customer Groups,新建客户组,module,Magento_Customer
Edit Group,编辑组,module,Magento_Customer
Edit Customer Groups,编辑客户组,module,Magento_Customer
You saved the customer group.,您节省了客户群。,module,Magento_Customer
Please select customer(s).,请选个客户,module,Magento_Customer
Customer could not be deleted.,无法删除客户。,module,Magento_Customer
You deleted the customer.,您已删除客户,module,Magento_Customer
Something went wrong while editing the customer.,出事了，而编辑的客户。,module,Magento_Customer
Manage Customers,管理客户,module,Magento_Customer
Please correct the data sent.,请更正发送的数据。,module,Magento_Customer
A total of %1 record(s) were updated.,更新记录 %1,module,Magento_Customer
A total of %1 record(s) were deleted.,删除了总计 % 1的记录,module,Magento_Customer
The customer will receive an email with a link to reset password.,客户将收到一封电子邮件，其中包含一个链接来重置密码。,module,Magento_Customer
Something went wrong while resetting customer password.,出了错，而重置客服密码。,module,Magento_Customer
You saved the customer.,您已保存客户,module,Magento_Customer
Something went wrong while saving the customer.,出事了，同时节省了客户。,module,Magento_Customer
Page not found.,找不到网页。,module,Magento_Customer
Customer has been unlocked successfully.,客户已成功解锁。,module,Magento_Customer
Online Customers,网上客户,module,Magento_Customer
Customers Now Online,当前在线客户,module,Magento_Customer
Please define Wish List item ID.,请确定收藏清单项ID。,module,Magento_Customer
Please load Wish List item.,请加载收藏清单产品。,module,Magento_Customer
Login successful.,登录成功。,module,Magento_Customer
"""%1"" section source is not supported","""%1"" 不支持部分源",module,Magento_Customer
%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface,%1 不扩展 \Magento\Customer\CustomerData\SectionSourceInterface,module,Magento_Customer
No confirmation needed.,没有确认需要。,module,Magento_Customer
Account already active,帐号已激活,module,Magento_Customer
Invalid confirmation token,无效的确认标记,module,Magento_Customer
The account is locked.,账户已被锁。,module,Magento_Customer
This account is not confirmed.,该帐户尚未确认。,module,Magento_Customer
"Invalid value of ""%value"" provided for the %fieldName field.","无效的值 ""%value"" 为 %fieldName 提供字段。",module,Magento_Customer
Please enter a password with at most %1 characters.,请输入最多 %1 字符的密码。,module,Magento_Customer
Please enter a password with at least %1 characters.,请至少%1个字符输入密码。,module,Magento_Customer
The password can't begin or end with a space.,密码不能以一个空格开始或结束。,module,Magento_Customer
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.",在密码中的不同类别的字符的最小值为 %1，字符类：小写，大写，数字，特殊字符。,module,Magento_Customer
This customer already exists in this store.,该客户已经存在的这家店。,module,Magento_Customer
A customer with the same email already exists in an associated website.,一位顾客用相同的电子邮件中已经存在关联的网站。,module,Magento_Customer
%fieldName is a required field.,%fieldName 为必填项。,module,Magento_Customer
Reset password token mismatch.,重设密码令牌不匹配。,module,Magento_Customer
Reset password token expired.,重设密码令牌过期。,module,Magento_Customer
Please correct the transactional account email type.,请更正交易账户的电子邮件类型。,module,Magento_Customer
Please enter the first name.,请输入名字。,module,Magento_Customer
Please enter the last name.,请输入姓氏。,module,Magento_Customer
Please enter the street.,请输入街道。,module,Magento_Customer
Please enter the city.,请输入城市。,module,Magento_Customer
Please enter the phone number.,请输入电话号码。,module,Magento_Customer
Please enter the zip/postal code.,请输入邮编。,module,Magento_Customer
Please enter the country.,请输入国家。,module,Magento_Customer
Please enter the state/province.,请输入州/省。,module,Magento_Customer
"""%1"" is a required value.","""%1"" 是一个必需值。",module,Magento_Customer
Global,全球,module,Magento_Customer
Per Website,每网站,module,Magento_Customer
We can't share customer accounts globally when the accounts share identical email addresses on more than one website.,当客户在一个以上的网站上共享相同的电子邮件地址时，我们不能与全球客户共享客户帐户。,module,Magento_Customer
Billing Address,账单地址,module,Magento_Customer
Shipping Address,送货地址,module,Magento_Customer
-- Please Select --,-- 请选择 --,module,Magento_Customer
Please enter a valid password reset token.,请输入有效密码重置令牌。,module,Magento_Customer
The password can not begin or end with a space.,密码不能以空格开头或结束。,module,Magento_Customer
Admin,管理员,module,Magento_Customer
ALL GROUPS,有货,module,Magento_Customer
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","没有这样的实体基于 %fieldName = %fieldValue, %field2Name = %field2Value",module,Magento_Customer
Attribute object is undefined,属性对象是不确定的,module,Magento_Customer
"""%1"" invalid type entered.","""%1"" 输入的类型无效。",module,Magento_Customer
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" 包含非字母数字或非数字字符。",module,Magento_Customer
"""%1"" is an empty string.","""%1"" 是一个空字符串。",module,Magento_Customer
"""%1"" contains non-numeric characters.","""%1"" 包含非数字字符。",module,Magento_Customer
"""%1"" contains non-alphabetic characters.","""%1"" 包含非字母字符。",module,Magento_Customer
"""%1"" is not a valid email address.","""%1"" 不是一个有效的电子邮件地址。",module,Magento_Customer
"""%1"" is not a valid hostname.","""%1"" 不是一个有效的主机名。",module,Magento_Customer
"""%1"" uses too many characters.","""%1"" 使用太多的字符。",module,Magento_Customer
"'%value%' looks like an IP address, which is not an acceptable format.",%value%' 看上去像一个 IP 地址，不是一种可接受的格式。,module,Magento_Customer
'%value%' looks like a DNS hostname but we cannot match the TLD against known list.,%value%' 看上去像一个 DNS 主机名，但我们不能匹配对照已知列表 TLD。,module,Magento_Customer
'%value%' looks like a DNS hostname but contains a dash in an invalid position.,%value%' 看上去像一个 DNS 主机名，但包含一个破折号在无效的位置。,module,Magento_Customer
'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.,%value%' 看上去像一个 DNS 主机名，但我们不能以 TLD '%tld%' 的与匹配对照主机名的架构。,module,Magento_Customer
'%value%' looks like a DNS hostname but cannot extract TLD part.,%value%' 看上去像一个 DNS 主机名，但不能提取 TLD 部分。,module,Magento_Customer
'%value%' does not look like a valid local network name.,%value%' 不像一个有效的本地网络名称。,module,Magento_Customer
"'%value%' looks like a local network name, which is not an acceptable format.",%value%' 看上去像一个本地网络名称，不是一种可接受的格式。,module,Magento_Customer
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.",%value%' 似乎是一个 DNS 主机名，但不能解码的给定的 punycode 符号。,module,Magento_Customer
"""%1"" is not a valid URL.","""%1"" 不是一个有效的URL.",module,Magento_Customer
"""%1"" is not a valid date.","""%1"" 不是一个有效的日期。",module,Magento_Customer
"""%1"" does not fit the entered date format.","""%1"" 不符合输入的日期格式。",module,Magento_Customer
Please enter a valid date between %1 and %2 at %3.,在 %3中请输入位于 %1 和 %2 之间的有效日期,module,Magento_Customer
Please enter a valid date equal to or greater than %1 at %2.,在 %2 中输入等于或大于 %1 的有效日期,module,Magento_Customer
Please enter a valid date less than or equal to %1 at %2.,在 %2 中输入小于或等于 %1 的有效日期,module,Magento_Customer
"""%1"" is not a valid file extension.","""%1"" 不是一个有效的文件扩展名。",module,Magento_Customer
"""%1"" is not a valid file.","""%1"" 不是一个有效的文件。",module,Magento_Customer
"""%1"" exceeds the allowed file size.","""%1"" 超过允许的文件大小。",module,Magento_Customer
"""%1"" is not a valid image format.","""%1"" 不是一个有效的图像格式。",module,Magento_Customer
"""%1"" width exceeds allowed value of %2 px.","""%1"" 宽度超过允许的值为 %2 像素。",module,Magento_Customer
"""%1"" height exceeds allowed value of %2 px.","""%1"" 高度超过允许的值为 %2 像素。",module,Magento_Customer
"""%1"" length must be equal or greater than %2 characters.","""%1"" 长度必须等于或大于 %2 字符。",module,Magento_Customer
"""%1"" length must be equal or less than %2 characters.","""%1"" 长度必须等于或小于 %2 字符。",module,Magento_Customer
label,标签,module,Magento_Customer
Please enter a customer email.,请输入客户的电子邮件。,module,Magento_Customer
A customer website ID must be specified when using the website scope.,一位顾客网站的ID必须使用本网站范围内时，可以指定。,module,Magento_Customer
Customer Group,客户组,module,Magento_Customer
"You can't delete group ""%1"".","您无法删除 ""%1""。",module,Magento_Customer
Customer Group already exists.,客户组已存在,module,Magento_Customer
Cannot delete group.,无法删除组。,module,Magento_Customer
Error during VAT Number verification.,增值税号码验证期间出现错误。,module,Magento_Customer
PHP SOAP extension is required.,需要PHP的SOAP扩展,module,Magento_Customer
VAT Number is valid.,增值税号码是有效的。,module,Magento_Customer
Please enter a valid VAT number.,请输入有效的增值税号码。,module,Magento_Customer
Your VAT ID was successfully validated.,您的增值税号已成功验证。,module,Magento_Customer
You will be charged tax.,你会被收取税款。,module,Magento_Customer
You will not be charged tax.,你将不会被收取税款。,module,Magento_Customer
The VAT ID entered (%1) is not a valid VAT ID.,增值税ID输入（%1）不是一个有效的增值税ID。,module,Magento_Customer
Your Tax ID cannot be validated.,您的税号无法验证。,module,Magento_Customer
"If you believe this is an error, please contact us at %1",如果你认为这是一个错误，请联系%1,module,Magento_Customer
No such entity with %fieldName = %fieldValue,没有这样的实体基于 %fieldName = %fieldValue,module,Magento_Customer
Male,男,module,Magento_Customer
Female,女士,module,Magento_Customer
Not Specified,未注明,module,Magento_Customer
Thank you for registering with,非常感谢您使用注册,module,Magento_Customer
enter your billing address for proper VAT calculation,输入您的帐单地址正确的增值税计算,module,Magento_Customer
enter your shipping address for proper VAT calculation,输入您的送货地址进行适当的增值税计算,module,Magento_Customer
